Date,Open,High,Low,Close,Adj Close,Volume
2020-01-15,1.216487,1.216487,1.152461,1.160464,1.160464,19992
2020-01-16,1.164466,1.232493,1.120448,1.140456,1.140456,38984
2020-01-17,1.124450,1.140456,1.108443,1.112445,1.112445,16993
2020-01-21,1.108443,1.124450,1.080432,1.108443,1.108443,40234
2020-01-22,1.084434,1.140456,1.084434,1.120448,1.120448,16743
2020-01-23,1.096439,1.120448,1.080432,1.088435,1.088435,13245
2020-01-24,1.064426,1.092437,1.044418,1.048419,1.048419,40734
2020-01-27,1.088435,1.088435,1.088435,1.088435,1.088435,1250
2020-01-28,1.044418,1.084434,1.004402,1.020408,1.020408,21242
2020-01-29,1.056423,1.064426,0.972389,1.000400,1.000400,55978
2020-01-30,1.000400,1.020408,0.924370,1.000400,1.000400,12245
2020-01-31,0.980392,0.992397,0.844338,0.952381,0.952381,29738
2020-02-03,0.932373,0.964386,0.900360,0.956383,0.956383,33237
2020-02-04,0.972389,0.980392,0.864346,0.900360,0.900360,36485
2020-02-05,0.932373,0.960384,0.920368,0.956383,0.956383,14494
2020-02-06,0.944378,0.996399,0.944378,0.952381,0.952381,14494
2020-02-07,0.888355,0.948379,0.888355,0.928371,0.928371,6497
2020-02-10,0.992397,0.992397,0.928371,0.928371,0.928371,2249
2020-02-11,0.936375,0.944378,0.904362,0.920368,0.920368,20242
2020-02-12,0.928371,0.928371,0.928371,0.928371,0.928371,1499
2020-02-13,0.876351,0.876351,0.828331,0.828331,0.828331,12995
2020-02-14,0.992397,0.992397,0.916367,0.956383,0.956383,42233
2020-02-18,0.908363,0.912365,0.840336,0.840336,0.840336,96961
2020-02-19,0.872349,0.872349,0.840336,0.840336,0.840336,33237
2020-02-20,0.844338,0.848339,0.760304,0.796319,0.796319,40734
2020-02-21,0.804322,0.804322,0.800320,0.800320,0.800320,7247
2020-02-24,0.780312,0.788315,0.616246,0.672269,0.672269,163435
2020-02-25,0.712285,0.712285,0.672269,0.676271,0.676271,42733
